Year,Race,Population,PopTotal
2014,black,41861,757371
2015,black,41962,768418
2016,black,42317,778193
2017,black,43115,788459
2018,black,43397,798647
2019,black,43988,804606
2020,black,44160,809869
2021,black,43008,810011
2022,black,43931,808098
2023,black,44401,803863
2014,asian,52070,757371
2015,asian,52765,768418
2016,asian,53626,778193
2017,asian,55519,788459
2018,asian,58124,798647
2019,asian,59715,804606
2020,asian,62827,809869
2021,asian,62051,810011
2022,asian,61740,808098
2023,asian,60070,803863
2014,hispanic,83465,757371
2015,hispanic,85202,768418
2016,hispanic,86579,778193
2017,hispanic,88966,788459
2018,hispanic,91130,798647
2019,hispanic,93276,804606
2020,hispanic,95432,809869
2021,hispanic,95432,810011
2022,hispanic,99498,808098
2023,hispanic,105204,803863
